epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.152,1.38674,2.19258,1.46514,0.29145,0.42834,0.2967,0.15671,1.49983,2.00098,1.67987,0.00047514,0.00047514,0.00047514
2,264.425,1.49624,2.06131,1.55026,0.3041,0.4972,0.28458,0.16074,1.46939,2.16395,1.57736,0.000942053,0.000942053,0.000942053
3,372.421,1.49677,1.99899,1.56632,0.30508,0.46192,0.31799,0.17362,1.56047,1.97796,1.67728,0.00139954,0.00139954,0.00139954
4,480.8,1.46709,1.92224,1.5374,0.38981,0.53469,0.40033,0.23884,1.3035,1.8149,1.48234,0.00138656,0.00138656,0.00138656
5,589.493,1.38418,1.81051,1.49211,0.38462,0.55267,0.43073,0.26647,1.25934,1.70424,1.46431,0.00137241,0.00137241,0.00137241
6,698.142,1.34005,1.73825,1.4599,0.34446,0.58226,0.39587,0.23991,1.27976,1.75111,1.46763,0.00135826,0.00135826,0.00135826
7,805.918,1.30677,1.71727,1.43877,0.45454,0.54501,0.4513,0.29149,1.20204,1.62735,1.42768,0.00134412,0.00134412,0.00134412
8,914.193,1.26617,1.64571,1.41256,0.46893,0.55955,0.47328,0.30659,1.20667,1.48968,1.42908,0.00132997,0.00132997,0.00132997
9,1021.8,1.24014,1.6122,1.39971,0.45149,0.59883,0.51418,0.34123,1.12602,1.44458,1.37243,0.00131582,0.00131582,0.00131582
10,1129.89,1.21404,1.5767,1.38607,0.47726,0.5837,0.51977,0.34147,1.11685,1.39223,1.35172,0.00130168,0.00130168,0.00130168
11,1238.04,1.19444,1.52022,1.36096,0.4672,0.59492,0.52678,0.35709,1.08785,1.38553,1.32866,0.00128753,0.00128753,0.00128753
12,1345.75,1.16752,1.48122,1.35007,0.50773,0.60284,0.542,0.36568,1.09134,1.34981,1.3312,0.00127338,0.00127338,0.00127338
13,1453.77,1.15994,1.49654,1.34477,0.49239,0.60784,0.52805,0.35421,1.09535,1.39072,1.34549,0.00125923,0.00125923,0.00125923
14,1561.28,1.14343,1.45518,1.33413,0.49435,0.62342,0.5555,0.38267,1.04845,1.32828,1.3074,0.00124509,0.00124509,0.00124509
15,1668.62,1.13247,1.42425,1.32311,0.53407,0.62259,0.58772,0.41356,1.02705,1.23034,1.29109,0.00123094,0.00123094,0.00123094
16,1777.54,1.11435,1.41448,1.30632,0.52455,0.61287,0.57511,0.39739,1.06003,1.25801,1.31128,0.00121679,0.00121679,0.00121679
17,1885.56,1.09878,1.3783,1.30175,0.54463,0.6309,0.59532,0.41548,1.0141,1.24232,1.2727,0.00120265,0.00120265,0.00120265
18,1993.39,1.08778,1.37095,1.29391,0.5301,0.61409,0.55973,0.3878,1.04602,1.35465,1.29484,0.0011885,0.0011885,0.0011885
19,2101.46,1.0798,1.36219,1.28665,0.5424,0.61933,0.6083,0.42399,1.01934,1.24612,1.27779,0.00117435,0.00117435,0.00117435
20,2209.21,1.08047,1.34752,1.29,0.57708,0.63166,0.59974,0.42633,0.99181,1.17554,1.26052,0.00116021,0.00116021,0.00116021
21,2316.95,1.0862,1.3281,1.28405,0.53509,0.62478,0.5949,0.41812,1.01698,1.2193,1.28293,0.00114606,0.00114606,0.00114606
22,2425.38,1.06367,1.32793,1.27381,0.57342,0.64703,0.63801,0.45534,0.99222,1.15856,1.26669,0.00113191,0.00113191,0.00113191
23,2533.26,1.05875,1.30606,1.26566,0.59029,0.66644,0.65544,0.47008,0.96604,1.13514,1.24373,0.00111776,0.00111776,0.00111776
24,2641.84,1.04067,1.30424,1.2544,0.59127,0.65279,0.64173,0.46458,0.95194,1.12458,1.23434,0.00110362,0.00110362,0.00110362
25,2750.6,1.03607,1.26575,1.25162,0.56281,0.69272,0.65645,0.47582,0.96193,1.13068,1.23391,0.00108947,0.00108947,0.00108947
26,2858.31,1.00714,1.23043,1.23755,0.60354,0.65594,0.65578,0.47115,0.9742,1.12694,1.24069,0.00107532,0.00107532,0.00107532
27,2965.57,1.01309,1.22681,1.24036,0.61571,0.66362,0.6655,0.47747,0.95771,1.11909,1.23326,0.00106118,0.00106118,0.00106118
28,3073.21,1.00994,1.2355,1.23306,0.62172,0.6634,0.66758,0.4815,0.94298,1.12685,1.21837,0.00104703,0.00104703,0.00104703
29,3180.66,0.99984,1.20534,1.22492,0.63061,0.6431,0.67644,0.48806,0.93699,1.08613,1.21682,0.00103288,0.00103288,0.00103288
30,3288.36,1.0027,1.20805,1.23299,0.5992,0.66124,0.67097,0.48533,0.93541,1.10838,1.21312,0.00101873,0.00101873,0.00101873
31,3396.16,0.98012,1.21003,1.22239,0.61373,0.67464,0.68035,0.50237,0.92997,1.05935,1.20931,0.00100459,0.00100459,0.00100459
32,3503.59,0.98059,1.19145,1.21623,0.62083,0.64609,0.66677,0.48238,0.93444,1.08698,1.21483,0.00099044,0.00099044,0.00099044
33,3611.96,0.97057,1.16708,1.21048,0.59933,0.68018,0.67885,0.49605,0.93247,1.06485,1.22739,0.000976293,0.000976293,0.000976293
34,3720.59,0.97207,1.15607,1.20652,0.60169,0.66457,0.66412,0.48433,0.92317,1.09214,1.20264,0.000962146,0.000962146,0.000962146
35,3829.08,0.96429,1.15237,1.20455,0.62612,0.6828,0.6916,0.51021,0.9132,1.03449,1.19732,0.000947999,0.000947999,0.000947999
36,3938.42,0.96102,1.15478,1.21,0.65155,0.67591,0.69887,0.51516,0.91415,1.04154,1.2037,0.000933851,0.000933851,0.000933851
37,4048.29,0.94477,1.12996,1.19526,0.62103,0.68341,0.69725,0.52147,0.90458,1.02363,1.19588,0.000919704,0.000919704,0.000919704
38,4158.52,0.94086,1.10382,1.19022,0.64087,0.67846,0.71108,0.53115,0.90237,1.00611,1.19349,0.000905557,0.000905557,0.000905557
39,4267.91,0.93987,1.10482,1.18443,0.64886,0.68936,0.71558,0.53556,0.89312,1.01514,1.18038,0.00089141,0.00089141,0.00089141
40,4375.77,0.93521,1.10169,1.18285,0.62928,0.68045,0.70417,0.52239,0.89285,0.99865,1.17898,0.000877263,0.000877263,0.000877263
41,4484.62,0.92662,1.09232,1.18023,0.66416,0.69599,0.71736,0.53635,0.89468,1.00468,1.19045,0.000863116,0.000863116,0.000863116
42,4592.91,0.92636,1.07945,1.17764,0.67865,0.67261,0.72959,0.54893,0.87924,0.98409,1.18217,0.000848969,0.000848969,0.000848969
43,4701.34,0.91465,1.06953,1.1742,0.6364,0.6846,0.70524,0.5285,0.88527,0.9986,1.17734,0.000834822,0.000834822,0.000834822
44,4809.68,0.91344,1.06555,1.16903,0.64992,0.70353,0.71616,0.53872,0.88457,0.9782,1.18128,0.000820675,0.000820675,0.000820675
45,4917.33,0.90895,1.03954,1.16334,0.6718,0.68577,0.73204,0.55381,0.87778,0.95845,1.1781,0.000806528,0.000806528,0.000806528
46,5026.42,0.90245,1.04411,1.16228,0.66674,0.67904,0.71806,0.54174,0.87702,0.97012,1.1649,0.00079238,0.00079238,0.00079238
