epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.512,1.14779,1.25901,1.29604,0.70924,0.66332,0.72473,0.44581,1.22923,1.29478,1.52119,0.000665725,0.000665725,0.000665725
2,442.562,1.29873,1.20042,1.39914,0.77741,0.70617,0.79399,0.50394,1.24461,1.09949,1.48383,0.00131774,0.00131774,0.00131774
3,637.756,1.24334,1.1364,1.37004,0.8113,0.74803,0.83331,0.56535,1.09093,1.23122,1.37362,0.00195508,0.00195508,0.00195508
4,832.787,1.17429,1.01672,1.31755,0.78401,0.73961,0.79174,0.51475,1.22117,1.13405,1.46013,0.001934,0.001934,0.001934
5,1027.88,1.12035,0.95835,1.28022,0.83309,0.75416,0.84295,0.56931,1.07833,0.89578,1.37192,0.001912,0.001912,0.001912
6,1222.75,1.0773,0.90491,1.26265,0.86334,0.78997,0.87584,0.61565,1.04805,0.81895,1.34769,0.00189,0.00189,0.00189
7,1418.57,1.03864,0.85587,1.2369,0.8302,0.75141,0.83659,0.58721,1.03162,0.90461,1.34014,0.001868,0.001868,0.001868
8,1613.36,0.99956,0.81067,1.20556,0.88596,0.81724,0.89672,0.63661,0.99266,0.77194,1.29282,0.001846,0.001846,0.001846
9,1807.83,0.9854,0.78867,1.19994,0.88918,0.7815,0.8894,0.64128,0.97012,0.76367,1.29232,0.001824,0.001824,0.001824
10,2002.06,0.96034,0.75789,1.18506,0.89168,0.81693,0.90746,0.65771,0.96062,0.71525,1.26387,0.001802,0.001802,0.001802
11,2195.95,0.9268,0.73791,1.16114,0.91238,0.82915,0.91839,0.68661,0.89752,0.67255,1.23673,0.00178,0.00178,0.00178
12,2392.01,0.921,0.7251,1.16594,0.88131,0.84702,0.9191,0.68376,0.91119,0.66328,1.26302,0.001758,0.001758,0.001758
13,2587.05,0.91803,0.71136,1.15598,0.9028,0.82395,0.91635,0.68471,0.88088,0.67852,1.22578,0.001736,0.001736,0.001736
14,2781.89,0.89715,0.70542,1.14118,0.90194,0.83327,0.92181,0.69872,0.86719,0.63555,1.21397,0.001714,0.001714,0.001714
15,2976.27,0.88454,0.67678,1.13495,0.90549,0.82602,0.92681,0.70199,0.88931,0.64163,1.23058,0.001692,0.001692,0.001692
16,3170.48,0.88009,0.66444,1.13282,0.92968,0.85793,0.94018,0.71673,0.85615,0.59293,1.20247,0.00167,0.00167,0.00167
17,3364.16,0.86061,0.66076,1.11754,0.90381,0.80376,0.90768,0.68905,0.85952,0.68346,1.21178,0.001648,0.001648,0.001648
18,3559.58,0.85315,0.63587,1.11172,0.91022,0.85172,0.93333,0.71628,0.85901,0.60807,1.2077,0.001626,0.001626,0.001626
19,3757.21,0.84737,0.62721,1.10875,0.90909,0.85581,0.93174,0.71706,0.84566,0.60134,1.19608,0.001604,0.001604,0.001604
20,3953.76,0.83488,0.62233,1.10712,0.90158,0.86728,0.93099,0.7066,0.86515,0.60415,1.21509,0.001582,0.001582,0.001582
21,4149.71,0.82534,0.61105,1.09293,0.91102,0.8605,0.93063,0.72045,0.84014,0.58828,1.18776,0.00156,0.00156,0.00156
22,4344.05,0.82304,0.60149,1.0954,0.89826,0.86928,0.93358,0.71652,0.84349,0.57936,1.20037,0.001538,0.001538,0.001538
23,4538.67,0.80693,0.59572,1.08835,0.93375,0.86238,0.94012,0.73424,0.82961,0.55946,1.18059,0.001516,0.001516,0.001516
24,4734.45,0.79626,0.57967,1.08041,0.91898,0.86409,0.94114,0.72881,0.82356,0.55948,1.18737,0.001494,0.001494,0.001494
25,4929.64,0.80779,0.57723,1.08599,0.91074,0.87962,0.94135,0.73202,0.81598,0.56249,1.16323,0.001472,0.001472,0.001472
26,5124.86,0.78751,0.5747,1.07456,0.93187,0.8605,0.93727,0.73024,0.81399,0.55505,1.1675,0.00145,0.00145,0.00145
