epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.56,1.05672,1.3261,1.16736,0.77347,0.66771,0.75632,0.48402,1.2149,1.32852,1.28528,0.000665725,0.000665725,0.000665725
2,307.449,1.18205,1.08716,1.23626,0.78405,0.73918,0.81556,0.53597,1.14778,1.05348,1.29379,0.00128842,0.00128842,0.00128842
3,454.266,1.14085,1.02484,1.21272,0.79363,0.73778,0.8181,0.54766,1.113,0.99054,1.24626,0.00186712,0.00186712,0.00186712
4,600.89,1.09387,0.95155,1.1869,0.84828,0.75455,0.85437,0.58684,1.08183,0.95731,1.21615,0.001802,0.001802,0.001802
5,747.633,1.04973,0.89371,1.1662,0.86633,0.78966,0.87266,0.60334,1.04749,0.83981,1.22176,0.001736,0.001736,0.001736
6,894.507,0.99691,0.81653,1.13773,0.89039,0.78937,0.88458,0.63866,0.97812,0.79574,1.15713,0.00167,0.00167,0.00167
7,1041.44,0.96877,0.78434,1.1139,0.89047,0.81066,0.90601,0.67509,0.90893,0.74576,1.11454,0.001604,0.001604,0.001604
8,1188.23,0.93021,0.74269,1.09485,0.86759,0.81661,0.89982,0.65169,0.94781,0.7804,1.13841,0.001538,0.001538,0.001538
9,1334.89,0.91603,0.72866,1.08851,0.89764,0.82915,0.92032,0.69632,0.87208,0.67471,1.07876,0.001472,0.001472,0.001472
10,1481.47,0.89686,0.70377,1.08209,0.90014,0.85623,0.92709,0.70089,0.87106,0.6817,1.08902,0.001406,0.001406,0.001406
11,1628.1,0.85795,0.67006,1.06146,0.91143,0.85486,0.93461,0.71433,0.85142,0.64621,1.07535,0.00134,0.00134,0.00134
12,1774.65,0.85048,0.6628,1.05546,0.92219,0.85141,0.93231,0.71168,0.85338,0.61729,1.08636,0.001274,0.001274,0.001274
13,1921.3,0.82793,0.63309,1.04469,0.89699,0.86807,0.93316,0.71499,0.82658,0.61845,1.05978,0.001208,0.001208,0.001208
14,2068.08,0.81069,0.61094,1.032,0.89276,0.87586,0.93221,0.72007,0.82003,0.62928,1.07254,0.001142,0.001142,0.001142
15,2214.7,0.79619,0.6027,1.03238,0.90705,0.86458,0.94,0.72622,0.82546,0.59613,1.07391,0.001076,0.001076,0.001076
16,2361.56,0.77661,0.56941,1.01837,0.92289,0.8704,0.94089,0.73446,0.79641,0.57266,1.04923,0.00101,0.00101,0.00101
17,2508.59,0.76435,0.56742,1.01283,0.90775,0.88529,0.94284,0.73922,0.80094,0.58403,1.05809,0.000944,0.000944,0.000944
18,2655.32,0.75298,0.55083,1.00636,0.92052,0.86778,0.9446,0.74134,0.79762,0.56109,1.05096,0.000878,0.000878,0.000878
19,2802.05,0.73514,0.52603,0.99945,0.93102,0.87335,0.94423,0.73524,0.80887,0.55793,1.05627,0.000812,0.000812,0.000812
20,2949.02,0.73222,0.52795,0.99866,0.93471,0.87959,0.94592,0.75518,0.7702,0.52683,1.0365,0.000746,0.000746,0.000746
21,3096.5,0.66717,0.43737,0.9529,0.90936,0.89322,0.94527,0.74654,0.78531,0.55516,1.04379,0.00068,0.00068,0.00068
22,3242.66,0.65199,0.42364,0.94777,0.92122,0.89122,0.94411,0.74893,0.77638,0.5379,1.04229,0.000614,0.000614,0.000614
23,3388.9,0.62796,0.40318,0.93189,0.93568,0.88474,0.94961,0.76167,0.77138,0.51752,1.03426,0.000548,0.000548,0.000548
24,3535.29,0.62046,0.38779,0.92835,0.93821,0.88025,0.95132,0.76601,0.75847,0.50666,1.02941,0.000482,0.000482,0.000482
25,3681.55,0.61182,0.3806,0.92614,0.93431,0.9,0.95531,0.77015,0.75634,0.49446,1.03011,0.000416,0.000416,0.000416
26,3828.27,0.59307,0.36657,0.91814,0.93596,0.88652,0.95233,0.77286,0.74541,0.4911,1.02558,0.00035,0.00035,0.00035
27,3974.9,0.57374,0.35289,0.90887,0.92101,0.90645,0.95178,0.77299,0.74443,0.49704,1.02255,0.000284,0.000284,0.000284
28,4121.42,0.56888,0.34443,0.90523,0.93739,0.89843,0.95865,0.78777,0.72894,0.47395,1.01287,0.000218,0.000218,0.000218
29,4268.08,0.56352,0.33256,0.90376,0.93872,0.91003,0.9602,0.78895,0.72476,0.4576,1.00954,0.000152,0.000152,0.000152
30,4414.48,0.54584,0.31883,0.89241,0.94332,0.90251,0.95644,0.78921,0.71756,0.46868,1.00812,8.6e-05,8.6e-05,8.6e-05
