epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.36,1.24745,1.70317,1.41749,0.68036,0.41071,0.45865,0.24183,1.68576,2.23695,1.97278,0.000665152,0.000665152,0.000665152
2,277.953,1.48708,1.62552,1.61586,0.67159,0.45957,0.53739,0.30617,1.46502,1.94645,1.67357,0.00131863,0.00131863,0.00131863
3,396.465,1.43641,1.57657,1.58021,0.65,0.44755,0.53327,0.29647,1.43693,2.04398,1.69833,0.00195891,0.00195891,0.00195891
4,515.409,1.4043,1.5053,1.55612,0.69601,0.48759,0.56957,0.323,1.42607,1.76581,1.64634,0.0019406,0.0019406,0.0019406
5,633.295,1.33574,1.43201,1.51583,0.60481,0.50921,0.55253,0.33013,1.39153,1.58515,1.63279,0.0019208,0.0019208,0.0019208
6,751.027,1.24663,1.34219,1.45042,0.72221,0.55645,0.65298,0.43115,1.17091,1.33308,1.45603,0.001901,0.001901,0.001901
7,869.764,1.22112,1.28646,1.41927,0.77088,0.44836,0.57785,0.37157,1.23102,1.48572,1.47219,0.0018812,0.0018812,0.0018812
8,987.439,1.18973,1.25698,1.4046,0.7115,0.56845,0.66751,0.45768,1.14145,1.23367,1.41489,0.0018614,0.0018614,0.0018614
9,1105.4,1.15464,1.22485,1.38647,0.68516,0.54524,0.63146,0.40598,1.20798,1.39392,1.47356,0.0018416,0.0018416,0.0018416
10,1224.22,1.13684,1.1824,1.37278,0.72803,0.54009,0.64503,0.42228,1.15694,1.32112,1.42145,0.0018218,0.0018218,0.0018218
11,1342.09,1.11675,1.1787,1.35368,0.77607,0.5605,0.68075,0.46381,1.08715,1.21768,1.35586,0.001802,0.001802,0.001802
12,1459.6,1.09309,1.13197,1.35095,0.78064,0.59167,0.68194,0.46738,1.0853,1.26774,1.37906,0.0017822,0.0017822,0.0017822
13,1578.32,1.06006,1.11974,1.31972,0.77063,0.58371,0.68776,0.47292,1.09212,1.1973,1.35708,0.0017624,0.0017624,0.0017624
14,1696.45,1.06089,1.10185,1.31522,0.76674,0.53803,0.67048,0.47749,1.03642,1.17242,1.33022,0.0017426,0.0017426,0.0017426
15,1814.96,1.03622,1.08953,1.30228,0.81386,0.58527,0.70095,0.47731,1.04884,1.13962,1.34958,0.0017228,0.0017228,0.0017228
16,1933.13,1.01582,1.04665,1.29558,0.74686,0.58818,0.68699,0.48161,1.00898,1.20635,1.30887,0.001703,0.001703,0.001703
17,2050.94,1.02055,1.0615,1.29662,0.75268,0.6253,0.70902,0.49994,1.00525,1.13092,1.3094,0.0016832,0.0016832,0.0016832
18,2169.7,1.00886,1.04801,1.28588,0.80027,0.56045,0.70215,0.49064,1.03708,1.14621,1.33318,0.0016634,0.0016634,0.0016634
19,2287.32,0.97549,1.02824,1.25486,0.76183,0.59927,0.69359,0.49367,1.00135,1.1751,1.30924,0.0016436,0.0016436,0.0016436
20,2404.63,0.95843,0.99372,1.25562,0.79417,0.59408,0.71049,0.51387,0.96889,1.07669,1.28273,0.0016238,0.0016238,0.0016238
21,2523.07,0.9408,0.97546,1.23839,0.76966,0.59408,0.6994,0.51013,0.98937,1.15554,1.30277,0.001604,0.001604,0.001604
22,2641.02,0.94053,0.97609,1.23891,0.76885,0.57646,0.68906,0.4938,0.98435,1.11578,1.32634,0.0015842,0.0015842,0.0015842
23,2758.46,0.94332,0.95972,1.24147,0.82719,0.59408,0.70915,0.49724,0.99347,1.11824,1.29328,0.0015644,0.0015644,0.0015644
24,2877.29,0.91811,0.95793,1.22127,0.7859,0.61128,0.72291,0.51343,0.96064,1.07808,1.2752,0.0015446,0.0015446,0.0015446
25,2995.19,0.91428,0.92981,1.22626,0.80027,0.59648,0.71169,0.50187,1.00481,1.18796,1.3205,0.0015248,0.0015248,0.0015248
26,3112.9,0.89891,0.94633,1.20601,0.82736,0.60608,0.73652,0.54133,0.89985,1.01672,1.24605,0.001505,0.001505,0.001505
27,3231.16,0.90773,0.93532,1.22334,0.81937,0.62103,0.73348,0.53969,0.92466,1.03352,1.25326,0.0014852,0.0014852,0.0014852
28,3348.86,0.87888,0.91122,1.1954,0.80885,0.60849,0.72693,0.53842,0.93012,1.03753,1.26757,0.0014654,0.0014654,0.0014654
29,3466.5,0.90726,0.92864,1.21423,0.80845,0.64131,0.7386,0.53452,0.94515,1.03114,1.26609,0.0014456,0.0014456,0.0014456
30,3584.99,0.87982,0.91178,1.193,0.80321,0.61409,0.72833,0.53416,0.94728,1.06026,1.2636,0.0014258,0.0014258,0.0014258
31,3702.43,0.8729,0.89714,1.18413,0.7511,0.63059,0.72466,0.53212,0.89988,1.08017,1.23501,0.001406,0.001406,0.001406
32,3820.15,0.87569,0.90605,1.18869,0.77237,0.64211,0.73669,0.53819,0.94033,1.017,1.24664,0.0013862,0.0013862,0.0013862
33,3938.94,0.8627,0.87885,1.18182,0.76763,0.60305,0.71153,0.52283,0.94166,1.07674,1.26723,0.0013664,0.0013664,0.0013664
34,4056.84,0.86345,0.89325,1.18244,0.79203,0.62507,0.73,0.54567,0.90846,1.10687,1.23746,0.0013466,0.0013466,0.0013466
35,4174.19,0.84993,0.88412,1.1769,0.81951,0.60346,0.72965,0.55501,0.86503,1.02899,1.21841,0.0013268,0.0013268,0.0013268
36,4293.68,0.8398,0.86417,1.164,0.77426,0.64772,0.75063,0.54358,0.95941,1.04445,1.29393,0.001307,0.001307,0.001307
37,4411.78,0.83578,0.85614,1.16927,0.80159,0.62107,0.73885,0.55593,0.90415,1.01595,1.24348,0.0012872,0.0012872,0.0012872
38,4529.98,0.84728,0.85998,1.17194,0.81475,0.64439,0.75386,0.56243,0.89749,0.97245,1.22612,0.0012674,0.0012674,0.0012674
39,4648.39,0.81573,0.83187,1.15308,0.83649,0.63891,0.75305,0.55796,0.9099,0.97049,1.23555,0.0012476,0.0012476,0.0012476
40,4766.02,0.81467,0.84134,1.15264,0.81667,0.63251,0.7501,0.55993,0.89904,0.97168,1.2267,0.0012278,0.0012278,0.0012278
