epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.815,1.15782,1.84965,1.29308,0.4114,0.30825,0.28158,0.14313,1.70796,2.26387,1.68163,0.000665152,0.000665152,0.000665152
2,196.455,1.34954,1.51808,1.41992,0.54415,0.33867,0.36413,0.17563,1.74324,2.56428,1.82822,0.00129886,0.00129886,0.00129886
3,288.317,1.35027,1.48715,1.43119,0.63338,0.46338,0.53057,0.32087,1.38575,1.98245,1.49766,0.00189956,0.00189956,0.00189956
4,380.079,1.28797,1.42404,1.38001,0.72547,0.48118,0.57818,0.34442,1.33547,1.55894,1.43279,0.0018515,0.0018515,0.0018515
5,471.68,1.20293,1.30102,1.34027,0.71359,0.54524,0.62241,0.36949,1.32088,1.46459,1.403,0.001802,0.001802,0.001802
6,563.324,1.17033,1.26621,1.30704,0.76198,0.56045,0.66742,0.43554,1.20422,1.34063,1.37304,0.0017525,0.0017525,0.0017525
7,654.575,1.12771,1.19948,1.28019,0.77061,0.52202,0.63978,0.42195,1.16354,1.34806,1.28536,0.001703,0.001703,0.001703
8,746.394,1.11461,1.2077,1.27407,0.74035,0.58442,0.67608,0.4792,1.07413,1.25627,1.2159,0.0016535,0.0016535,0.0016535
9,838.145,1.06372,1.14745,1.24464,0.6977,0.56845,0.65885,0.43686,1.13345,1.31429,1.27829,0.001604,0.001604,0.001604
10,929.558,1.04554,1.13715,1.23898,0.76969,0.60048,0.70043,0.47998,1.05424,1.18298,1.22293,0.0015545,0.0015545,0.0015545
11,1020.51,1.01309,1.06459,1.21558,0.82274,0.58767,0.69422,0.47128,1.08528,1.22628,1.24439,0.001505,0.001505,0.001505
12,1111.59,0.97117,1.04948,1.18967,0.78568,0.61729,0.71737,0.5177,0.99008,1.19027,1.17985,0.0014555,0.0014555,0.0014555
13,1202.86,0.96284,1.019,1.18236,0.79704,0.59568,0.70517,0.48921,1.02531,1.2076,1.19652,0.001406,0.001406,0.001406
14,1294.15,0.94044,1.01626,1.17277,0.80845,0.59488,0.71575,0.50994,0.97931,1.1522,1.18012,0.0013565,0.0013565,0.0013565
15,1385.25,0.91377,0.98082,1.15905,0.80876,0.6197,0.72693,0.5143,1.00982,1.11679,1.19619,0.001307,0.001307,0.001307
16,1476.09,0.92829,0.99231,1.17008,0.79086,0.59808,0.71626,0.51258,0.97505,1.14696,1.18103,0.0012575,0.0012575,0.0012575
17,1567.01,0.896,0.95451,1.15412,0.7754,0.62468,0.71953,0.50921,0.96395,1.1107,1.166,0.001208,0.001208,0.001208
18,1657.93,0.89307,0.93779,1.14357,0.79123,0.60991,0.72673,0.52196,0.97916,1.06555,1.16547,0.0011585,0.0011585,0.0011585
19,1748.74,0.88742,0.93342,1.13635,0.78985,0.59648,0.72472,0.51879,0.96491,1.15574,1.16192,0.001109,0.001109,0.001109
20,1839.67,0.86417,0.90185,1.12863,0.77774,0.61354,0.72959,0.52721,0.92618,1.04082,1.15384,0.0010595,0.0010595,0.0010595
21,1930.64,0.86069,0.89126,1.12695,0.82611,0.60048,0.73455,0.54543,0.9118,1.03376,1.13376,0.00101,0.00101,0.00101
22,2021.39,0.83226,0.87938,1.10692,0.8096,0.6301,0.74379,0.54689,0.91973,1.00775,1.14075,0.0009605,0.0009605,0.0009605
23,2112.23,0.82556,0.85821,1.10215,0.78821,0.65012,0.73656,0.52714,0.92379,1.05303,1.14734,0.000911,0.000911,0.000911
24,2203.02,0.81154,0.86599,1.1024,0.82165,0.62337,0.73133,0.53125,0.93188,1.04809,1.15223,0.0008615,0.0008615,0.0008615
25,2293.67,0.80612,0.85589,1.08887,0.79656,0.65205,0.74851,0.53922,0.91438,1.04071,1.13115,0.000812,0.000812,0.000812
26,2384.35,0.78157,0.82644,1.08105,0.80387,0.64291,0.75249,0.5643,0.87775,0.99868,1.10313,0.0007625,0.0007625,0.0007625
27,2476.44,0.77624,0.81706,1.0778,0.79934,0.63571,0.74701,0.55827,0.90832,1.03363,1.13768,0.000713,0.000713,0.000713
28,2568.58,0.76248,0.79791,1.06157,0.81816,0.64532,0.75874,0.56602,0.87492,0.9675,1.09781,0.0006635,0.0006635,0.0006635
